Latitude,Longitude,Speed
38.592666626,-77.3167266846,65
38.5929260254,-77.316619873,65
38.5931816101,-77.3165130615,65
38.5934371948,-77.31640625,65
38.5936927795,-77.3162918091,65
38.5939483643,-77.316192627,65
38.5942077637,-77.3160858154,65
38.5944595337,-77.3159790039,65
38.5947151184,-77.3158798218,65
38.5949707031,-77.3157653809,65
38.5952262878,-77.3156661987,65
38.5954780579,-77.3155593872,65
38.5957298279,-77.3154602051,65
38.5959777832,-77.3153533936,65
38.5962295532,-77.315246582,65
38.5964736938,-77.3151397705,65
38.5967292786,-77.315032959,65
38.5969772339,-77.3149261475,65
38.5972251892,-77.3148193359,65
38.5974769592,-77.3147125244,65
38.5977249146,-77.3146133423,65
38.5979766846,-77.3145065308,65
38.5982208252,-77.3143920898,65
38.5984725952,-77.3142929077,65
38.5987167358,-77.3141860962,65
38.5989685059,-77.3140869141,65
38.5992126465,-77.3139801025,65
38.5994567871,-77.3138809204,65
38.5997009277,-77.3137817383,65
38.5999450684,-77.3136749268,65
38.600189209,-77.3135681152,65
38.6004257202,-77.3134536743,65
38.6006660461,-77.3133392334,65
38.6009025574,-77.3132247925,65
38.6011390686,-77.3130950928,65
38.6013717651,-77.3129653931,65
38.6016082764,-77.3128433228,65
38.6018409729,-77.3126983643,65
38.6020736694,-77.3125534058,65
38.6023025513,-77.3124084473,65
38.6025314331,-77.31224823,65
38.6027603149,-77.3120803833,65
38.6029815674,-77.311920166,65
38.6032066345,-77.3117446899,65
38.6034240723,-77.3115692139,65
38.60364151,-77.3113861084,65
38.6038551331,-77.3111953735,65
38.6042366028,-77.3110122681,65
38.6044540405,-77.3108215332,65
38.6046676636,-77.3106231689,65
38.6048736572,-77.3104171753,65
38.6050758362,-77.3102111816,65
38.6052780151,-77.310005188,65
38.6054801941,-77.3097915649,65
38.6056747437,-77.3095703125,65
38.6058731079,-77.3093643188,65
38.6060676575,-77.3091506958,65
38.6062583923,-77.3089370728,65
38.6064491272,-77.3087234497,65
38.6066398621,-77.3085098267,65
38.6068305969,-77.308303833,65
38.6070175171,-77.30809021,65
38.607208252,-77.3078842163,65
38.6073951721,-77.3076705933,65
38.6075820923,-77.307472229,65
38.6077690125,-77.307258606,65
38.6079517,-77.3070482,65
38.608146,-77.3068292,65
38.6083298,-77.3066232,65
38.6085115,-77.3064195,65
38.6086967,-77.3062198,65
38.6088718,-77.3060273,65
38.6090641,-77.3058089,65
38.6092107,-77.305645,65
38.6093808,-77.3054607,65
38.6095213,-77.3053019,65
38.6096312,-77.3051829,65
38.6097384,-77.30506,65
38.6099083,-77.3048733,65
38.6100653,-77.3046937,65
38.6102015,-77.3045531,65
38.6103057,-77.3044412,65
38.6104239,-77.3043034,65
38.6110496521,-77.3036575317,65
38.61120224,-77.3034820557,65
38.6113586426,-77.3032989502,65
38.6115226746,-77.3031234741,65
38.6116905212,-77.3029251099,65
38.6118545532,-77.302734375,65
38.6120223999,-77.3025436401,65
38.612197876,-77.3023605347,65
38.6123733521,-77.3021621704,65
38.6125488281,-77.3019714355,65
38.6127281189,-77.3017807007,65
38.6129074097,-77.3015899658,65
38.6130905151,-77.3014068604,65
38.6132736206,-77.3012237549,65
38.6134605408,-77.3010406494,65
38.6136512756,-77.3008651733,65
38.6138420105,-77.3006973267,65
38.6140327454,-77.3005218506,65
38.6142311096,-77.3003540039,65
38.6144294739,-77.3001937866,65
38.6146316528,-77.3000335693,65
38.6148338318,-77.2998809814,65
38.6150436401,-77.2997207642,65
38.6152534485,-77.2995681763,65
38.6154632568,-77.2994308472,65
38.6156730652,-77.2992858887,65
38.6158905029,-77.299156189,65
38.6161117554,-77.2990188599,65
38.6163330078,-77.2988891602,65
38.616558075,-77.2987594604,65
38.6167869568,-77.2986373901,65
38.6170196533,-77.2985153198,65
38.6172523499,-77.2983932495,65
38.6174888611,-77.2982788086,65
38.6177253723,-77.2981491089,65
38.6179618835,-77.298034668,65
38.6182022095,-77.2979125977,65
38.6184387207,-77.2977905273,65
38.6186828613,-77.2976760864,65
38.6189193726,-77.2975540161,65
38.6191596985,-77.2974395752,65
38.6193962097,-77.2973175049,65
38.6196365356,-77.297203064,65
38.6198768616,-77.297088623,65
38.6201248169,-77.2969741821,65
38.6203804016,-77.2968521118,65
38.6206169128,-77.2967453003,65
38.6208572388,-77.29662323,65
38.62109375,-77.2965087891,65
38.6213378906,-77.2963867188,65
38.6215744019,-77.2962722778,65
38.6218147278,-77.2961502075,65
38.622051239,-77.2960357666,65
38.6222953796,-77.2959136963,65
38.6225318909,-77.2957992554,65
38.6227760315,-77.2956848145,65
38.6230163574,-77.2955703735,65
38.623260498,-77.2954483032,65
38.6234970093,-77.2953338623,65
38.6237373352,-77.2952041626,65
38.6239776611,-77.2950897217,65
38.6242141724,-77.2949752808,65
38.6244544983,-77.2948608398,65
38.6246910095,-77.2947387695,65
38.6249351501,-77.2946243286,65
38.6251716614,-77.2945098877,65
38.6254119873,-77.2943954468,65
38.6256523132,-77.2942810059,65
38.6258926392,-77.2941589355,65
38.6261291504,-77.2940444946,65
38.6263694763,-77.2939224243,65
38.6266059875,-77.2938079834,65
38.6270027161,-77.2936935425,65
38.6272392273,-77.2935791016,65
38.6274795532,-77.2934646606,65
38.6277198792,-77.2933578491,65
38.6279602051,-77.2932510376,65
